State Key,Value,,,,,,State,State FIPS
ZZ99,3,,,,,,MA,25
ZZ98,3,,,,,,VT,50
ZZ97,3,,,,,,NY,36
ZZ96,3,,,,,,MS,28
ZZ95,3,,,,,,AL,1
ZZ94,3,,,,,,MN,27
ZZ93,3,,,,,,OR,41
ZZ92,3,,,,,,UT,49
ZZ91,3,,,,,,DC,11
ZZ90,3,,,,,,,
ZZ9,0.765,,,,,,,
ZZ89,3,,,,,,,
ZZ88,3,,,,,,,
ZZ87,3,,,,,,,
ZZ86,3,,,,,,,
ZZ85,3,,,,,,,
ZZ84,3,,,,,,,
ZZ83,3,,,,,,,
ZZ82,3,,,,,,,
ZZ81,3,,,,,,,
ZZ80,3,,,,,,,
ZZ8,0.765,,,,,,,
ZZ79,3,,,,,,,
ZZ78,3,,,,,,,
ZZ77,3,,,,,,,
ZZ76,3,,,,,,,
ZZ75,3,,,,,,,
ZZ74,3,,,,,,,
ZZ73,3,,,,,,,
ZZ72,3,,,,,,,
ZZ71,3,,,,,,,
ZZ70,3,,,,,,,
ZZ7,0.765,,,,,,,
ZZ69,3,,,,,,,
ZZ68,3,,,,,,,
ZZ67,3,,,,,,,
ZZ66,3,,,,,,,
ZZ65,3,,,,,,,
ZZ64,3,,,,,,,
ZZ63,2.952,,,,,,,
ZZ62,2.873,,,,,,,
ZZ61,2.81,,,,,,,
ZZ60,2.714,,,,,,,
ZZ6,0.765,,,,,,,
ZZ59,2.603,,,,,,,
ZZ58,2.548,,,,,,,
ZZ57,2.437,,,,,,,
ZZ56,2.333,,,,,,,
ZZ55,2.23,,,,,,,
ZZ54,2.135,,,,,,,
ZZ53,2.04,,,,,,,
ZZ52,1.952,,,,,,,
ZZ51,1.865,,,,,,,
ZZ50,1.786,,,,,,,
ZZ5,0.765,,,,,,,
ZZ49,1.706,,,,,,,
ZZ48,1.635,,,,,,,
ZZ47,1.563,,,,,,,
ZZ46,1.5,,,,,,,
ZZ45,1.444,,,,,,,
ZZ44,1.397,,,,,,,
ZZ43,1.357,,,,,,,
ZZ42,1.325,,,,,,,
ZZ41,1.302,,,,,,,
ZZ40,1.278,,,,,,,
ZZ4,0.765,,,,,,,
ZZ39,1.262,,,,,,,
ZZ38,1.246,,,,,,,
ZZ37,1.238,,,,,,,
ZZ36,1.23,,,,,,,
ZZ35,1.222,,,,,,,
ZZ34,1.214,,,,,,,
ZZ33,1.198,,,,,,,
ZZ32,1.183,,,,,,,
ZZ31,1.159,,,,,,,
ZZ30,1.135,,,,,,,
ZZ3,0.765,,,,,,,
ZZ29,1.119,,,,,,,
ZZ28,1.087,,,,,,,
ZZ27,1.048,,,,,,,
ZZ26,1.024,,,,,,,
ZZ25,1.004,,,,,,,
ZZ24,1,,,,,,,
ZZ23,1,,,,,,,
ZZ22,1,,,,,,,
ZZ21,1,,,,,,,
ZZ20,0.97,,,,,,,
ZZ2,0.765,,,,,,,
ZZ19,0.941,,,,,,,
ZZ18,0.913,,,,,,,
ZZ17,0.885,,,,,,,
ZZ16,0.859,,,,,,,
ZZ15,0.833,,,,,,,
ZZ14,0.765,,,,,,,
ZZ13,0.765,,,,,,,
ZZ12,0.765,,,,,,,
ZZ11,0.765,,,,,,,
ZZ100,3,,,,,,,
ZZ10,0.765,,,,,,,
ZZ1,0.765,,,,,,,
ZZ0,0.765,,,,,,,
UT99,3,,,,,,,
UT98,3,,,,,,,
UT97,3,,,,,,,
UT96,3,,,,,,,
UT95,3,,,,,,,
UT94,3,,,,,,,
UT93,3,,,,,,,
UT92,3,,,,,,,
UT91,3,,,,,,,
UT90,3,,,,,,,
UT9,0.793,,,,,,,
UT89,3,,,,,,,
UT88,3,,,,,,,
UT87,3,,,,,,,
UT86,3,,,,,,,
UT85,3,,,,,,,
UT84,3,,,,,,,
UT83,3,,,,,,,
UT82,3,,,,,,,
UT81,3,,,,,,,
UT80,3,,,,,,,
UT8,0.793,,,,,,,
UT79,3,,,,,,,
UT78,3,,,,,,,
UT77,3,,,,,,,
UT76,3,,,,,,,
UT75,3,,,,,,,
UT74,3,,,,,,,
UT73,3,,,,,,,
UT72,3,,,,,,,
UT71,3,,,,,,,
UT70,3,,,,,,,
UT7,0.793,,,,,,,
UT69,3,,,,,,,
UT68,3,,,,,,,
UT67,3,,,,,,,
UT66,3,,,,,,,
UT65,3,,,,,,,
UT64,3,,,,,,,
UT63,3,,,,,,,
UT62,3,,,,,,,
UT61,3,,,,,,,
UT60,3,,,,,,,
UT6,0.793,,,,,,,
UT59,3,,,,,,,
UT58,2.911,,,,,,,
UT57,2.799,,,,,,,
UT56,2.691,,,,,,,
UT55,2.588,,,,,,,
UT54,2.488,,,,,,,
UT53,2.392,,,,,,,
UT52,2.3,,,,,,,
UT51,2.212,,,,,,,
UT50,2.127,,,,,,,
