FIPS,LCSPP21
1003,436.45
1005,436.45
1007,442.61
1009,442.61
1011,436.45
1015,383.71
1017,436.45
1019,436.45
1021,442.61
1025,436.45
1027,436.45
1029,436.45
1031,436.45
1033,418.96
1035,436.45
1037,436.45
1043,436.45
1045,436.45
1049,436.45
1053,436.45
1055,451.18
1057,436.45
1059,436.45
1061,436.16
1063,399.33
1065,399.33
1067,436.16
1069,436.16
1071,436.45
1073,442.61
1077,418.96
1079,414.19
1081,521.15
1083,497.9
1087,436.45
1089,497.9
1091,436.45
1093,436.45
1095,436.45
1097,439.49
1103,414.19
1105,436.45
1107,436.45
1109,436.45
1111,436.45
1113,526.35
1115,442.61
1117,442.61
1121,436.45
1123,436.45
1125,399.33
1127,442.61
1129,436.45
1133,436.45
2020,657
2090,691
2100,674
2105,674
2110,674
2122,657
2130,674
2170,691
2195,674
2198,674
2220,674
2230,674
2275,674
4013,303.57
4015,471.84
4019,296.21
4021,301.63
8001,333.97
8003,464.21
8005,333.97
8007,465.92
8009,464.21
8011,464.21
8013,333.97
8014,333.97
8015,464.21
8017,464.21
8019,333.97
8021,464.21
8023,464.21
8025,464.21
8027,464.21
8029,439.84
8031,333.97
8033,583
8035,333.97
8037,465.92
8039,333.97
8041,340.65
8043,464.21
8045,583
8047,333.97
8049,583
8051,583
8053,583
8055,464.21
8057,583
8059,333.97
8061,464.21
8063,464.21
8065,583
8067,465.92
8069,343.66
8071,464.21
8073,464.21
8075,464.21
8077,366.03
8079,464.21
8081,465.92
8083,465.92
8085,583
8087,464.21
8089,464.21
8091,583
8093,333.97
8095,464.21
8097,583
8099,464.21
8101,367.7
8103,465.92
8105,464.21
8107,439.84
8109,464.21
8111,583
8113,583
8115,464.21
8117,465.92
8119,340.65
8121,464.21
8123,345.32
8125,464.21
9001,554.82
9003,474.06
9005,512.59
9007,512.23
9009,512.23
9011,512.59
9013,512.59
9015,512.59
11001,418.79
12009,359.83
12011,380.71
12013,471.09
12019,361.02
12021,446.11
12027,412.69
12031,358.63
12033,395.49
12035,400.06
12039,482.7
12043,588.26
12049,592.61
12051,455.06
12055,525.47
12057,399.03
12061,384.67
12065,487.76
12069,384.32
12071,429.55
12073,438.04
12077,437.64
12079,507.33
12081,435.84
12083,401.04
12086,387.03
12095,392.36
12097,388.44
12099,400.12
12101,391.97
12103,417.92
12105,396.21
12113,395.84
12117,396.21
12123,464.24
12127,380.59
12129,495.79
13001,356.9
13003,307.6
13005,291.98
13007,345.69
13009,349.16
13011,323.15
13013,421.97
13015,410.91
13017,312.21
13019,312.21
13021,344.66
13023,344.66
13025,291.98
13027,312.21
13029,356.9
13031,356.9
13033,401.86
13035,410.91
13037,345.69
13039,291.98
13043,356.9
13045,463.57
13047,383.16
13049,291.98
13051,356.9
13053,524.88
13055,340.14
13057,410.91
13059,421.97
13061,345.69
13063,373.9
13065,312.21
13067,373.9
13069,307.6
13071,312.21
13073,401.86
13075,312.21
13077,410.91
13079,344.66
13081,345.69
13083,383.16
13085,323.15
13087,312.21
13089,373.9
13091,344.66
13093,344.66
13095,345.69
13097,410.91
13099,312.21
13101,312.21
13103,356.9
13105,421.97
13107,401.86
13109,356.9
13111,394.23
13113,410.91
13115,340.14
13117,410.91
13119,323.15
13121,373.9
13123,340.14
13125,401.86
13127,291.98
13129,340.14
13131,312.21
13133,421.97
13135,373.9
13137,323.15
13139,323.15
13141,349.16
13143,463.57
13145,476.84
13147,323.15
13149,463.57
13151,373.9
13153,344.66
13155,312.21
13157,421.97
13159,456.18
13161,307.6
13163,401.86
13165,401.86
13167,307.6
13169,344.66
13171,410.91
13173,312.21
13175,307.6
13177,345.69
13179,356.9
13181,401.86
13183,356.9
13185,312.21
13187,323.15
13189,401.86
13191,291.98
13193,524.88
13195,421.97
13197,524.88
13199,524.88
13201,312.21
13205,345.69
13207,344.66
13209,307.6
13211,421.97
13213,394.23
13215,476.84
13217,410.91
13219,421.97
13221,421.97
13223,410.91
13225,344.66
13227,340.14
13229,291.98
13231,410.91
13233,340.14
13235,344.66
13237,344.66
13239,524.88
13241,323.15
13243,345.69
13245,401.86
13247,410.91
13249,345.69
13251,356.9
13253,312.21
13255,410.91
13257,323.15
13259,524.88
13261,345.69
13263,524.88
13265,401.86
13267,356.9
13269,524.88
13271,307.6
13273,345.69
13275,312.21
13277,312.21
13279,307.6
13281,323.15
13283,307.6
13285,524.88
13287,312.21
13289,344.66
13291,323.15
13293,524.88
13295,383.16
13297,410.91
13299,291.98
13301,401.86
13303,349.16
13305,291.98
13307,524.88
13309,307.6
13311,323.15
13313,394.23
13315,344.66
13317,401.86
13319,349.16
13321,345.69
16001,316
16003,316
16005,321.64
16007,321.64
16009,313.49
16011,321.64
16013,351.85
16015,316
16017,313.49
16019,318.61
16021,313.49
16023,335.43
16025,351.85
16027,316
16029,321.64
16031,351.85
16033,335.43
16035,316.62
16037,349.38
16039,316
16041,321.64
16043,335.43
16045,316
16047,351.85
16049,316.62
16051,335.43
16053,351.85
16055,313.49
16057,316.62
16059,349.38
16061,316.62
16063,351.85
16065,335.43
16067,351.85
16069,316.62
16071,321.64
16073,316
16075,316
16077,321.64
16079,313.49
16081,335.43
16083,351.85
16085,318.82
16087,316
17001,483.55
17003,636.42
17005,446.28
17007,437.96
17009,483.55
17011,485.69
17013,446.28
17015,522.21
17017,483.55
17019,547.09
17021,483.55
17023,547.09
17025,636.42
17027,446.28
17029,547.09
17031,313.44
17033,636.42
17035,547.09
17037,461.8
17039,519.18
17041,547.09
17043,325.97
17045,547.09
17047,636.42
17049,636.42
17051,636.42
17053,547.09
17055,636.42
17057,541.51
17059,636.42
17061,446.28
17063,331.38
17065,636.42
17067,485.69
17069,636.42
17071,485.69
17073,419.43
17075,547.09
17077,636.42
17079,636.42
17081,636.42
17083,446.28
17085,522.21
17087,636.42
17089,325.97
17091,331.38
17093,330.88
17095,541.51
17097,310.57
17099,541.51
17101,636.42
17103,522.21
17105,519.18
17107,483.55
17109,541.51
17111,315.45
17113,519.18
17115,461.26
17117,446.28
17119,355.16
17121,636.42
17123,490.21
17125,483.55
17127,636.42
17129,483.55
17131,419.43
17133,355.16
17135,446.28
17137,483.55
17139,483.55
17141,461.8
17143,490.21
17145,636.42
17147,547.09
17149,483.55
17151,636.42
17153,636.42
17155,541.51
17157,446.28
17159,636.42
17161,419.43
17163,355.16
17165,636.42
17167,461.26
17169,483.55
17171,483.55
17173,461.26
17175,490.21
17177,522.21
17179,490.21
17181,636.42
17183,547.09
17185,636.42
17187,485.69
17189,446.28
17191,636.42
17193,636.42
17195,485.69
17197,299.94
17199,636.42
17201,437.96
17203,490.21
18001,334.98
18003,349.36
18005,297.78
18007,304.72
18009,303.03
18011,322.14
18013,317.56
18015,298.1
18017,299.54
18019,256.6
18021,343.31
18023,298.1
18025,256.6
18027,294.57
18029,332.29
18031,297.78
18033,334.98
18035,303.03
18037,294.57
18039,309.11
18041,315.71
18043,256.6
18045,298.1
18047,332.29
18049,299.54
18051,292.31
18053,303.03
18055,294.57
18057,322.14
18059,315.71
18061,256.6
18063,322.14
18065,315.71
18067,299.54
18069,334.98
18071,297.78
18073,304.72
18075,303.03
18077,256.6
18079,297.78
18081,317.56
18083,294.57
18085,309.11
18087,334.98
18089,293.42
18091,293.42
18093,317.56
18095,315.71
18097,322.14
18099,309.11
18101,294.57
18103,299.54
18105,317.56
18107,298.1
18109,322.14
18111,304.72
18113,334.98
18115,332.29
18117,294.57
18119,317.56
18121,343.31
18123,294.57
18125,294.57
18127,293.42
18129,292.31
18131,299.54
18133,298.1
18135,303.03
18137,332.29
18139,297.78
18141,309.11
18143,256.6
18145,322.14
18147,294.57
18149,309.11
18151,334.98
18153,343.31
18155,332.29
18157,298.1
18159,298.1
18161,315.71
18163,292.31
18165,343.31
18167,343.31
18169,334.98
18171,304.72
18173,292.31
18175,256.6
18177,315.71
18179,334.98
18181,304.72
18183,334.98
19001,399.06
19003,399.06
19005,378.58
19007,344.69
19009,399.06
19011,324.14
19013,344.69
19015,321.95
19017,378.58
19019,324.14
19021,399.06
19023,378.58
19025,342.36
19027,342.36
19029,399.06
19031,324.14
19033,378.58
19035,399.06
19037,378.58
19039,399.06
19041,399.06
19043,344.69
19045,344.69
19047,399.06
19049,321.95
19051,344.69
19053,399.06
19055,324.14
19057,344.69
19059,399.06
19061,324.14
19063,378.58
19065,378.58
19067,378.58
19069,378.58
19071,399.06
19073,342.36
19075,321.95
19077,399.06
19079,342.36
19081,378.58
19083,342.36
19085,399.06
19087,344.69
19089,378.58
19091,378.58
19093,399.06
19095,344.69
19097,324.14
19099,321.95
19101,344.69
19103,344.69
19105,324.14
19107,344.69
19109,378.58
19111,344.69
19113,324.14
19115,344.69
19117,344.69
19119,399.06
19121,342.36
19123,344.69
19125,342.36
19127,321.95
19129,399.06
19131,378.58
19133,399.06
19135,344.69
19137,399.06
19139,324.14
19141,399.06
19143,399.06
19145,399.06
19147,399.06
19149,399.06
19151,399.06
19153,321.95
19155,399.06
19157,321.95
19159,399.06
19161,399.06
19163,324.14
19165,399.06
19167,399.06
19169,342.36
19171,321.95
19173,399.06
19175,399.06
19177,344.69
19179,344.69
19181,321.95
19183,344.69
19185,344.69
19187,342.36
19189,378.58
19191,378.58
19193,399.06
19195,378.58
19197,378.58
20001,467.06
20003,414.94
20005,414.94
20007,771.19
20009,430.3
20011,467.06
20013,414.94
20015,418.68
20017,418.68
20019,418.68
20021,467.06
20023,430.3
20025,771.19
20027,401.02
20029,401.02
20031,414.94
20033,771.19
20035,418.68
20037,467.06
20039,430.3
20041,401.02
20043,414.94
20045,414.94
20047,771.19
20049,418.68
20051,430.3
20053,401.02
20055,771.19
20057,771.19
20059,414.94
20061,401.02
20063,430.3
20065,430.3
20067,771.19
20069,771.19
20071,430.3
20073,418.68
20075,771.19
20077,418.68
20079,418.68
20081,771.19
20083,771.19
20085,414.94
20087,414.94
20089,401.02
20091,399.47
20093,771.19
20095,418.68
