Plan Id,FIPS,LCSPP,,county,rate
46944AL0660001,1001,463.3,,1001,425.48
46944AL0660001,1003,449.12,,1003,425.48
46944AL0660001,1005,449.12,,1005,425.48
46944AL0710001,1007,421.85,,1007,425.48
73301AL0020023,1009,408.42,,1009,383.95
46944AL0660001,1011,449.12,,1011,425.48
46944AL0660001,1013,449.12,,1013,425.48
46944AL0660001,1015,439.67,,1015,425.48
46944AL0660001,1017,449.12,,1017,425.48
46944AL0660001,1019,449.12,,1019,425.48
73301AL0020023,1021,408.42,,1021,383.95
46944AL0660001,1023,449.12,,1023,425.48
46944AL0660001,1025,449.12,,1025,425.48
46944AL0660001,1027,449.12,,1027,425.48
46944AL0660001,1029,449.12,,1029,425.48
46944AL0660001,1031,449.12,,1031,425.48
46944AL0660001,1033,449.12,,1033,425.48
46944AL0660001,1035,449.12,,1035,425.48
46944AL0660001,1037,449.12,,1037,425.48
46944AL0660001,1039,449.12,,1039,425.48
46944AL0660001,1041,449.12,,1041,425.48
46944AL0660001,1043,449.12,,1043,425.48
46944AL0660001,1045,449.12,,1045,425.48
46944AL0660001,1047,449.12,,1047,425.48
46944AL0660001,1049,449.12,,1049,425.48
46944AL0660001,1051,463.3,,1051,425.48
46944AL0660001,1053,449.12,,1053,425.48
46944AL0660001,1055,439.67,,1055,425.48
46944AL0660001,1057,449.12,,1057,425.48
46944AL0660001,1059,449.12,,1059,425.48
46944AL0660001,1061,449.12,,1061,425.48
46944AL0660001,1063,425.48,,1063,425.48
46944AL0660001,1065,425.48,,1065,425.48
46944AL0660001,1067,449.12,,1067,425.48
46944AL0660001,1069,449.12,,1069,425.48
46944AL0660001,1071,449.12,,1071,425.48
73301AL0020023,1073,408.42,,1073,383.95
46944AL0660001,1075,449.12,,1075,425.48
46944AL0660001,1077,449.12,,1077,425.48
46944AL0660001,1079,446.76,,1079,425.48
46944AL0660001,1081,486.94,,1081,425.48
46944AL0660001,1083,494.03,,1083,425.48
46944AL0660001,1085,463.3,,1085,425.48
46944AL0660001,1087,449.12,,1087,425.48
46944AL0660001,1089,494.03,,1089,425.48
46944AL0660001,1091,449.12,,1091,425.48
46944AL0660001,1093,449.12,,1093,425.48
46944AL0660001,1095,449.12,,1095,425.48
69461AL0110003,1097,441.45,,1097,425.48
46944AL0660001,1099,449.12,,1099,425.48
46944AL0660001,1101,463.3,,1101,425.48
46944AL0660001,1103,446.76,,1103,425.48
46944AL0660001,1105,449.12,,1105,425.48
46944AL0660001,1107,449.12,,1107,425.48
46944AL0660001,1109,449.12,,1109,425.48
46944AL0660001,1111,449.12,,1111,425.48
46944AL0660001,1113,486.94,,1113,425.48
73301AL0020023,1115,408.42,,1115,383.95
73301AL0020023,1117,408.42,,1117,383.95
46944AL0660001,1119,449.12,,1119,425.48
46944AL0660001,1121,449.12,,1121,425.48
46944AL0660001,1123,449.12,,1123,425.48
46944AL0660001,1125,425.48,,1125,425.48
73301AL0020023,1127,408.42,,1127,383.95
46944AL0660001,1129,449.12,,1129,425.48
46944AL0660001,1131,449.12,,1131,425.48
46944AL0660001,1133,449.12,,1133,425.48
38344AK1060002,2013,588.51,,2013,397.25
38344AK1060002,2016,588.51,,2016,397.25
77963AK0010002,2020,511,,2020,397.25
38344AK1060002,2050,588.51,,2050,397.25
38344AK1060002,2060,594.4,,2060,397.25
38344AK1060002,2068,594.4,,2068,397.25
38344AK1060002,2070,588.51,,2070,397.25
77963AK0010002,2090,537,,2090,397.25
77963AK0010002,2100,524,,2100,397.25
77963AK0010002,2105,524,,2105,397.25
77963AK0010002,2110,524,,2110,397.25
77963AK0010002,2122,511,,2122,397.25
77963AK0010002,2130,524,,2130,397.25
38344AK1060002,2150,588.51,,2150,397.25
38344AK1060002,2158,588.51,,2158,397.25
38344AK1060002,2164,588.51,,2164,397.25
77963AK0010002,2170,537,,2170,397.25
38344AK1060002,2180,594.4,,2180,397.25
38344AK1060002,2185,594.4,,2185,397.25
38344AK1060002,2188,594.4,,2188,397.25
77963AK0010002,2195,524,,2195,397.25
77963AK0010002,2198,524,,2198,397.25
77963AK0010002,2220,524,,2220,397.25
77963AK0010002,2230,524,,2230,397.25
38344AK1060002,2240,594.4,,2240,397.25
77963AK0010002,2275,524,,2275,397.25
38344AK1060002,2282,594.4,,2282,397.25
38344AK1060002,2290,588.51,,2290,397.25
53901AZ1420105,4001,501.9,,4001,433.55
91450AZ0080098,4003,391.57,,4003,248.34
91450AZ0080098,4005,443.83,,4005,248.34
91450AZ0080098,4007,325.18,,4007,248.34
91450AZ0080098,4009,391.57,,4009,248.34
91450AZ0080098,4011,391.57,,4011,248.34
53901AZ1420099,4012,508.37,,4012,433.55
40702AZ0060003,4013,265.01,,4013,248.34
53901AZ1420103,4015,501.9,,4015,433.55
53901AZ1420105,4017,501.9,,4017,433.55
87247AZ0010032,4019,235.22,,4019,230.06
40702AZ0060003,4021,302.12,,4021,248.34
91450AZ0080098,4023,273.82,,4023,248.34
53901AZ1420100,4025,481.36,,4025,331.49
53901AZ1420101,4027,508.37,,4027,433.55
62141AR0080027,5001,285.03,,5001,324.66
62141AR0080027,5003,285.03,,5003,324.66
62141AR0080027,5005,285.03,,5005,324.66
62141AR0080027,5007,285.03,,5007,324.66
62141AR0080027,5009,285.03,,5009,324.66
62141AR0080027,5011,285.03,,5011,324.66
62141AR0080027,5013,285.03,,5013,324.66
62141AR0080027,5015,285.03,,5015,324.66
62141AR0080027,5017,285.03,,5017,324.66
62141AR0080027,5019,285.03,,5019,324.66
62141AR0080027,5021,285.03,,5021,324.66
62141AR0080027,5023,285.03,,5023,324.66
62141AR0080027,5025,285.03,,5025,324.66
62141AR0080027,5027,285.03,,5027,324.66
62141AR0080027,5029,285.03,,5029,324.66
62141AR0080027,5031,285.03,,5031,324.66
62141AR0080027,5033,285.03,,5033,324.66
62141AR0080027,5035,285.03,,5035,324.66
62141AR0080027,5037,285.03,,5037,324.66
62141AR0080027,5039,285.03,,5039,324.66
62141AR0080027,5041,285.03,,5041,324.66
62141AR0080027,5043,285.03,,5043,324.66
62141AR0080027,5045,285.03,,5045,324.66
62141AR0080027,5047,285.03,,5047,324.66
62141AR0080027,5049,285.03,,5049,324.66
62141AR0080027,5051,285.03,,5051,324.66
62141AR0080027,5053,285.03,,5053,324.66
