Zip Code,FIPS,usps_zip_pref_city,usps_zip_pref_state,State FIPS,State Key,,,,
683,72125,SAN GERMAN,PR,72,ZZ,,,,3228
683,72079,SAN GERMAN,PR,72,ZZ,,,,
683,72023,SAN GERMAN,PR,72,ZZ,,,,
683,72097,SAN GERMAN,PR,72,ZZ,,,,
683,72121,SAN GERMAN,PR,72,ZZ,,,,
923,72127,SAN JUAN,PR,72,ZZ,,,,
1010,25013,BRIMFIELD,MA,25,MA,,,,
1010,25027,BRIMFIELD,MA,25,MA,,,,
1257,25003,SHEFFIELD,MA,25,MA,,,,
1267,25003,WILLIAMSTOWN,MA,25,MA,,,,
1331,25011,ATHOL,MA,25,MA,,,,
1331,25027,ATHOL,MA,25,MA,,,,
1339,25015,CHARLEMONT,MA,25,MA,,,,
1339,25011,CHARLEMONT,MA,25,MA,,,,
1469,25017,TOWNSEND,MA,25,MA,,,,
2027,25021,DEDHAM,MA,25,MA,,,,
2120,25025,ROXBURY CROSSING,MA,25,MA,,,,
2128,25025,EAST BOSTON,MA,25,MA,,,,
2199,25025,BOSTON,MA,25,MA,,,,
2361,25023,PLYMOUTH,MA,25,MA,,,,
2664,25001,SOUTH YARMOUTH,MA,25,MA,,,,
2668,25001,WEST BARNSTABLE,MA,25,MA,,,,
2648,25001,MARSTONS MILLS,MA,25,MA,,,,
2739,25023,MATTAPOISETT,MA,25,MA,,,,
2895,44007,WOONSOCKET,RI,44,ZZ,,,,
3281,33011,WEARE,NH,33,ZZ,,,,
3281,33013,WEARE,NH,33,ZZ,,,,
3743,33019,CLAREMONT,NH,33,ZZ,,,,
3592,33007,PITTSBURG,NH,33,ZZ,,,,
3605,33019,LEMPSTER,NH,33,ZZ,,,,
3886,33003,TAMWORTH,NH,33,ZZ,,,,
3884,33017,STRAFFORD,NH,33,ZZ,,,,
3884,33015,STRAFFORD,NH,33,ZZ,,,,
4357,23023,RICHMOND,ME,23,ZZ,,,,
4357,23011,RICHMOND,ME,23,ZZ,,,,
4649,23029,JONESPORT,ME,23,ZZ,,,,
4627,23009,DEER ISLE,ME,23,ZZ,,,,
4562,23023,PHIPPSBURG,ME,23,ZZ,,,,
4921,23027,BROOKS,ME,23,ZZ,,,,
4921,23019,BROOKS,ME,23,ZZ,,,,
4548,23023,GEORGETOWN,ME,23,ZZ,,,,
